title,authors,date,num_references
The Political Development Cycle: The Right and the Left in People's Republic of China from 1953,"Anton Cheremukhin , Mikhail Golosov , Sergei Guriev , and Aleh Tsyvinski",April 2024,14
Selling Subscriptions,"Liran Einav , Ben Klopack , and Neale Mahoney",May 2025,13
"Fragile New Economy: Intangible Capital, Corporate Savings Glut, and Financial Instability",Ye Li,April 2025,13
Prolonged Learning and Hasty Stopping: The Wald Problem with Ambiguity,"Sarah Auster , Yeon-Koo Che , and Konrad Mierendorff",February 2024,13
"Quid Pro Quo, Knowledge Spillovers, and Industrial Quality Upgrading: Evidence from the Chinese Auto Industry","Jie Bai , Panle Jia Barwick , Shengmao Cao , and Shanjun Li",November 2025,12
Monopsony and Employer Misoptimization Explain Why Wages Bunch at Round Numbers,"Arindrajit Dube , Alan Manning , and Suresh Naidu",August 2025,12
The Comparative Statics of Sorting,Axel Anderson and Lones Smith,March 2024,12
The Ends of 27 Big Depressions,"Martin Ellison , Sang Seok Lee , and Kevin Hjortshøj O'Rourke",January 2024,12
Managers and Public Hospital Performance,Pablo Muñoz and Cristóbal Otero,November 2025,11
Direct and Indirect Effects of Investment Tax Incentives,Adrian Lerche,August 2025,11
Who Benefits from Online Gig Economy Platforms?,Christopher T. Stanton and Catherine Thomas,June 2025,11
Mortgage Pricing and Monetary Policy,"Matteo Benetton , Alessandro Gavazza , and Paolo Surico",March 2025,11
Price Floors and Employer Preferences: Evidence from a Minimum Wage Experiment,John J. Horton,January 2025,11
Aiming for the Goal: Contribution Dynamics of Crowdfunding,"Joyee Deb , Aniko Öry , and Kevin R. Williams",December 2024,11
Revealing Choice Bracketing,Andrew Ellis and David J. Freeman,September 2024,11
Age Set versus Kin: Culture and Financial Ties in East Africa,Jacob Moscona and Awa Ambra Seck,September 2024,11
Big Loans to Small Businesses: Predicting Winners and Losers in an Entrepreneurial Lending Experiment,"Gharad Bryan , Dean Karlan , and Adam Osman",September 2024,11
In-Kind Transfers as Insurance,"Lucie Gadenne , Samuel Norris , Monica Singhal , and Sandip Sukhtankar",September 2024,11
Information Choice in Auctions,Nina Bobkova,July 2024,11
Test-Optional Admissions,"Wouter Dessein , Alex Frankel , and Navin Kartik",September 2025,10
The End of Privilege: A Reexamination of the Net Foreign Asset Position of the United States,"Andrew Atkeson , Jonathan Heathcote , and Fabrizio Perri",July 2025,10
Fiscal Policy and Credit Supply in a Crisis,"Diana Bonfim , Miguel A. Ferreira , Francisco Queiró , and Sujiao (Emma) Zhao",June 2025,10
Efficiency in Household Decision-Making: Evidence from the Retirement Savings of US Couples,"Taha Choukhmane , Lucas Goodman , and Cormac O'Dea",May 2025,10
Robust Monopoly Regulation,Yingni Guo and Eran Shmaya,February 2025,10
Bias and Sensitivity under Ambiguity,"Zhen Huo , Marcelo Pedroni , and Guangyu Pei",December 2024,10
Gender Differences in Financial Advice,"Tabea Bucher-Koenen , Andreas Hackethal , Johannes Koenen , and Christine Laudenbach",December 2025,9
A Goldilocks Theory of Fiscal Deficits,"Atif Mian , Ludwig Straub , and Amir Sufi",December 2025,9
Treatment Effects in Market Equilibrium,"Evan Munro , Xu Kuang , and Stefan Wager",October 2025,9
"Apart but Connected: Online Tutoring, Cognitive Outcomes, and Soft Skills",Michela Carlana and Eliana La Ferrara,October 2025,9
Micro versus Macro Labor Supply Elasticities: The Role of Dynamic Returns to Effort,"Henrik Kleven , Claus Kreiner , Kristian Larsen , and Jakob Søgaard",September 2025,9
Targeting Impact versus Deprivation,"Johannes Haushofer , Paul Niehaus , Carlos Paramo , Edward Miguel , and Michael Walker",June 2025,9
The Role of People versus Places in Individual Carbon Emissions,Eva Lyubich,May 2025,9
Sticky Wages on the Layoff Margin,Steven J. Davis and Pawel M. Krolikowski,February 2025,9
Hedging When Applying: Simultaneous Search with Correlation,S. Nageeb Ali and Ran I. Shorrer,February 2025,9
Generalized Social Marginal Welfare Weights Imply Inconsistent Comparisons of Tax Policies,Itai Sher,November 2024,9
Public Discourse and Socially Responsible Market Behavior,"Björn Bartling , Vanessa Valero , Roberto A. Weber , and Lan Yao",October 2024,9
Monotone Function Intervals: Theory and Applications,Kai Hao Yang and Alexander K. Zentefis,August 2024,9
Welfare Comparisons for Biased Learning,"Mira Frick , Ryota Iijima , and Yuhta Ishii",June 2024,9
Nested Bundling,Frank Yang,September 2025,8
"Labor Market Power, Self-Employment, and Development","Francesco Amodio , Pamela Medina , and Monica Morlacco",September 2025,8
Is Air Pollution Regulation Too Lenient? Evidence from US Offset Markets,Joseph S. Shapiro and Reed Walker,September 2025,8
A Model of Populism as a Conspiracy Theory,Adam Szeidl and Ferenc Szucs,September 2025,8
A Stepping Stone Approach to Norm Transitions,"Selim Gulesci , Sam Jindani , Eliana La Ferrara , David Smerdon , Munshi Sulaiman , and Peyton Young",July 2025,8
Undergraduate Gender Diversity and the Direction of Scientific Research,Francesca Truffa and Ashley Wong,July 2025,8
Does Entry Remedy Collusion? Evidence from the Generic Prescription Drug Cartel,Amanda Starc and Thomas G. Wollmann,May 2025,8
How Do Mental Health Treatment Delays Impact Long-Term Mortality?,Sydney Costantini,May 2025,8
Curbing Leakage in Public Programs: Evidence from India's Direct Benefit Transfer Policy,Prabhat Barnwal,December 2024,8
The Real State: Inside the Congo's Traffic Police Agency,"Raúl Sánchez de la Sierra , Kristof Titeca , Haoyang (Stan) Xie , Aimable Amani Lameke , and Albert Malukisa Nkuku",December 2024,8
Valuing Long-Term Property Rights with Anticipated Political Regime Shifts,"Zhiguo He , Maggie Hu , Zhenping Wang , and Vincent Yao",September 2024,8
Redesigning the US Army's Branching Process: A Case Study in Minimalist Market Design,"Kyle Greenberg , Parag A. Pathak , and Tayfun Sönmez",April 2024,8
Optimal Inference for Spot Regressions,"Tim Bollerslev , Jia Li , and Yuexuan Ren",March 2024,8
Propagation and Insurance in Village Networks,"Cynthia Kinnan , Krislert Samphantharak , Robert Townsend , and Diego Vera-Cossio",January 2024,8
Employers and Unemployment Insurance Take-Up,"Marta Lachowska , Isaac Sorkin , and Stephen A. Woodbury",August 2025,7
Presidential Address: The Economist as Designer in the Innovation Process for Socially Impactful Digital Products,Susan Athey,April 2025,7
Corruption as a Local Advantage: Evidence from the Indigenization of Nigerian Oil,Jonah M. Rexer,March 2025,7
Measuring Science: Performance Metrics and the Allocation of Talent,"Sebastian Hager , Carlo Schwarz , and Fabian Waldinger",December 2024,7
Comparisons of Signals,"Benjamin Brooks , Alexander Frankel , and Emir Kamenica",September 2024,7
Household Labor Supply and the Value of Social Security Survivors Benefits,"David Coyne , Itzik Fadlon , Shanthi P. Ramnath , and Patricia K. Tong",May 2024,7
Competing to Commit: Markets with Rational Inattention,"Carlo M. Cusumano , Francesco Fabbri , and Ferdinand Pieroth",January 2024,7
Downward Rigidity in the Wage for New Hires,Jonathon Hazell and Bledi Taska,December 2025,6
First-Generation Elite: The Role of School Social Networks,"Sarah Cattan , Kjell G. Salvanes , and Emma Tominey",December 2025,6
"Incentive Complexity, Bounded Rationality, and Effort Provision","Johannes Abeler , David Huffman , and Collin Raymond",December 2025,6
Anatomy of the Phillips Curve: Micro Evidence and Macro Implications,"Luca Gagliardone , Mark Gertler , Simone Lenzu , and Joris Tielens",November 2025,6
Monetary Policy and the Labor Market: A Quasi-experiment in Sweden,"John Coglianese , Maria Olsson , and Christina Patterson",October 2025,6
Cursed Sequential Equilibrium,"Meng-Jhang Fong , Po-Hsuan Lin , and Thomas R. Palfrey",August 2025,6
The Negligible Effect of Free Contraception on Fertility: Experimental Evidence from Burkina Faso,"Pascaline Dupas , Seema Jayachandran , Adriana Lleras-Muney , and Pauline Rossi",August 2025,6
Empowering Adolescents to Transform Schools: Lessons from a Behavioral Targeting,Sule Alan and Elif Kubilay,February 2025,6
Organized Voters: Elections and Public Funding of Nonprofits,Camille Urvoy,January 2025,6
Quality Is in the Eye of the Beholder: Taste Projection in Markets with Observational Learning,Tristan Gagnon-Bartsch and Antonio Rosato,November 2024,6
Investing in the Next Generation: The Long-Run Impacts of a Liquidity Shock,"Patrick Agte , Arielle Bernhardt , Erica Field , Rohini Pande , and Natalia Rigol",September 2024,6
Changing Income Risk across the US Skill Distribution: Evidence from a Generalized Kalman Filter,"J. Carter Braxton , Kyle Herkenhoff , Jonathan Rothbaum , and Lawrence Schmidt",December 2025,5
"A Preferred-Habitat Model of Term Premia, Exchange Rates, and Monetary Policy Spillovers","Pierre-Olivier Gourinchas , Walker Ray , and Dimitri Vayanos",November 2025,5
Distinguishing Causes of Neighborhood Racial Change: A Nearest-Neighbor Design,"Patrick Bayer , Marcus Casey , W. Ben McCartney , John Orellana-Li , and Calvin Zhang",November 2025,5
Robustness Measures for Welfare Analysis,Zi Yang Kang and Shoshana Vasserman,August 2025,5
Leaders in Social Movements: Evidence from Unions in Myanmar,"Laura Boudreau , Rocco Macchiavello , Virginia Minni , and Mari Tanaka",June 2025,5
Changing Tracks: Human Capital Investment after Loss of Ability,"Anders Humlum , Jakob R. Munch , and Pernille Plato",May 2025,5
Do Ordeals Work for Selection Markets? Evidence from Health Insurance Auto-Enrollment,Mark Shepard and Myles Wagner,March 2025,5
The Good Wife? Reputation Dynamics and Financial Decision-Making inside the Household,"Nina Buchmann , Pascaline Dupas , and Roberta Ziparo",February 2025,5
Heterogeneity in School Value Added and the Private Premium,"Tahir Andrabi , Natalie Bau , Jishnu Das , and Asim I. Khwaja",January 2025,5
Monitoring in Small Firms: Experimental Evidence from Kenyan Public Transit,"Erin M. Kelley , Gregory Lane , and David Schönholzer",October 2024,5
Opportunity Unraveled: Private Information and the Missing Markets for Financing Human Capital,Daniel Herbst and Nathaniel Hendren,July 2024,5
Just a Few Seeds More: The Value of Network Data for Diffusion,"Mohammad Akbarpour , Suraj Malladi , and Amin Saberi",November 2025,4
Drivers of Change: Employment Responses to the Lifting of the Saudi Female Driving Ban,"Chaza Abou Daher , Erica Field , Kendal Swanson , and Kate Vyborny",September 2025,4
Mission Motivation and Public Sector Performance: Experimental Evidence from Pakistan,Muhammad Yasir Khan,July 2025,4
Nobel Lecture: Paths to the Periphery,James A. Robinson,June 2025,4
Optimal Security Design for Risk-Averse Investors,"Alex Gershkov , Benny Moldovanu , Philipp Strack , and Mengxi Zhang",June 2025,4
Political Social Learning: Short-Term Memory and Cycles of Polarization,Gilat Levy and Ronny Razin,February 2025,4
Crowding in School Choice,"William Phan , Ryan Tierney , and Yu Zhou",August 2024,4
Firm Responses and Wage Effects of Foreign Demand Shocks with Fixed Labor Costs and Monopsony,"Emmanuel Dhyne , Ayumu Ken Kikkawa , Toshiaki Komatsu , Magne Mogstad , and Felix Tintelnot",December 2025,3
Borrowing and Spending in the Money: Debt Substitution and the Cash-Out Refinance Channel of Monetary Policy,"Elliot Anenberg , Tess Scharlemann , and Eileen van Straelen",November 2025,3
Increasing Degree Attainment among Low-Income Students: The Role of Intensive Advising and College Quality,Andrew Barr and Benjamin Castleman,November 2025,3
Diffusion of Reproductive Health Behavior through International Migration: Effects on Origin-Country Fertility,Susan Godlonton and Caroline Theoharides,October 2025,3
Keep Your Enemies Closer: Strategic Platform Adjustments during US and French Elections,"Rafael Di Tella , Randy Kotti , Caroline Le Pennec , and Vincent Pons",August 2025,3
From Retributive to Restorative: An Alternative Approach to Justice in Schools,"Anjali Adukia , Benjamin Feigenberg , and Fatemeh Momeni",August 2025,3
Monetary Policy and Rational Asset Price Bubbles: Comment,"Franklin Allen , Gadi Barlevy , and Douglas Gale",August 2025,3
Presidential Address: Investing in Children to Address the Child Mental Health Crisis,Janet Currie,May 2025,3
Risk Aversion and Insurance Propensity,"Fabio Maccheroni , Massimo Marinacci , Ruodu Wang , and Qinyu Wu",May 2025,3
Dying or Lying? For-Profit Hospices and End-of-Life Care,"Jonathan Gruber , David H. Howard , Jetson Leder-Luis , and Theodore L. Caputi",January 2025,3
"Loans for the ""Little Fellow"": Credit, Crisis, and Recovery in the Great Depression",Sarah Quincy,December 2024,3
Institution Building without Commitment,"Marco Bassetto , Zhen Huo , and José-Víctor Ríos-Rull",November 2024,3
An Equilibrium Analysis of the Effects of Neighborhood-Based Interventions on Children,Eric Chyn and Diego Daruich,December 2025,2
Nonlinear Pricing and Misallocation,Gideon Bornstein and Alessandra Peter,November 2025,2
The Value of Software,Roberto Gómez-Cram and Alastair Lawrence,October 2025,2
"Intermediated Asymmetric Information, Compensation, and Career Prospects",Ron Kaniel and Dmitry Orlov,October 2025,2
Nobel Lecture: The Institutional Origins of Shared Prosperity,Simon Johnson,June 2025,2
Ownership Concentration and Strategic Supply Reduction,"Ulrich Doraszelski , Katja Seim , Michael Sinkinson , and Peichun Wang",March 2025,2
"Sticky Spending, Sequestration, and Government Debt",Facundo Piguillem and Alessandro Riboni,November 2024,2
Experimentation in Networks,Simon Board and Moritz Meyer-ter-Vehn,September 2024,2
Repeated Trading: Transparency and Market Structure,Ayça Kaya and Santanu Roy,August 2024,2
Buying from a Group,"Nima Haghpanah , Aditya Kuvalekar , and Elliot Lipnowski",August 2024,2
Allocation Mechanisms with Mixture-Averse Preferences,David Dillenberger and Uzi Segal,December 2025,1
International Trade Responses to Labor Market Regulations,Mathilde Muñoz,November 2025,1
Consistent Evidence on Duration Dependence of Price Changes,"Fernando Alvarez , Katarína Borovičková , and Robert Shimer",October 2025,1
The Long-Term Effects of Income for At-Risk Infants: Evidence from Supplemental Security Income,"Amelia Hawkins , Christopher Hollrah , Sarah Miller , Laura R. Wherry , Gloria Aldana , and Mitchell Wong",September 2025,1
Underbidding for Oil and Gas Tracts,"Julien Martin , Martin Pesendorfer , and Jack Shannon",August 2025,1
Effects of Enhanced Legal Aid in Child Welfare: Evidence from a Randomized Trial of Mi Abogado,"Ryan Cooper , Joseph J. Doyle , and Andrés Hojman",July 2025,1
A Theory of Dynamic Inflation Targets,Christopher Clayton and Andreas Schaab,February 2025,1
Dynamic Outside Options and Optimal Negotiation Strategies,Andrew McClellan,October 2024,1
"Supply, Demand, Institutions, and Firms: A Theory of Labor Market Sorting and the Wage Distribution",Daniel Haanwinckel,December 2025,0
Strategic Voting in Two-Party Legislative Elections,Niall Hughes,December 2025,0
The Trade-Off between Flexibility and Robustness in Instrumental Variables Analysis,Ben Deaner,November 2025,0
Weighted Linear Discrete Choice,"Christopher P. Chambers , Yusufcan Masatlioglu , Paulo Natenzon , and Collin Raymond",April 2025,0
When Money Dies: The Dynamics of Speculative Hyperinflations,Guillaume Rocheteau,April 2025,0
